Bridge_ID,Span_ft,Deck_Width_ft,Age_Years,Num_Lanes,Material,Condition_Rating,Max_Load_Tons
B107,149,38,61,4,Composite,4,159
B108,146,34,61,1,Concrete,1,112
B109,501,49,9,1,Composite,5,202
B110,571,36,34,5,Concrete,1,115
B111,323,31,85,1,Concrete,4,240
B112,179,60,21,3,Composite,4,102
B113,143,37,72,4,Steel,1,195
B114,468,24,89,5,Concrete,1,217
B115,418,56,36,3,Composite,2,241
B116,276,49,88,6,Steel,1,133
B117,214,21,55,5,Concrete,2,163
B118,113,51,77,2,Composite,3,164
B119,430,45,28,2,Composite,2,209
B120,189,35,10,4,Concrete,4,195
B121,138,20,28,5,Concrete,1,172
B122,283,49,14,1,Concrete,5,106
B123,136,27,91,2,Steel,1,204
B124,145,35,57,3,Steel,1,238
B125,289,59,70,3,Composite,5,193
B126,261,53,64,6,Composite,1,223
B127,374,36,27,6,Concrete,3,108
B128,208,23,30,1,Steel,3,195
B129,494,60,58,4,Concrete,2,120
B130,476,32,81,3,Steel,5,247
B131,455,56,52,6,Composite,1,113
B132,293,53,96,6,Composite,2,193
B133,444,35,99,3,Composite,1,210
B134,410,30,66,5,Concrete,2,178
B135,316,23,90,2,Composite,5,217
B136,232,52,78,6,Composite,3,200
B137,305,38,12,3,Concrete,2,209
B138,308,32,12,4,Composite,5,187
B139,369,44,54,3,Composite,4,111
B140,333,59,80,5,Concrete,1,162
B141,345,36,16,6,Concrete,5,101
B142,590,47,82,6,Steel,5,222
B143,254,35,52,2,Composite,2,147
B144,230,27,56,5,Steel,3,154
B145,570,55,76,2,Composite,5,118
B146,594,42,81,5,Steel,1,138
B147,329,49,99,3,Composite,2,131
B148,109,52,53,3,Concrete,3,118
B149,459,26,23,2,Steel,2,202
B150,208,41,78,6,Steel,3,159
B151,284,54,68,3,Concrete,3,164
B152,105,21,7,6,Concrete,2,173
B153,454,46,61,5,Concrete,3,102
B154,305,53,48,4,Composite,3,163
B155,316,25,50,5,Composite,3,245
B156,272,58,84,2,Composite,1,126
B157,120,33,21,2,Concrete,1,180
B158,160,50,37,5,Steel,4,228
B159,360,39,58,1,Composite,5,133
B160,354,24,30,2,Steel,1,110
B161,252,22,28,6,Concrete,4,141
B162,390,51,50,3,Steel,2,142
B163,583,54,37,5,Concrete,2,125
B164,562,39,67,5,Steel,3,146
B165,156,28,77,4,Steel,4,108
B166,196,27,87,1,Steel,2,204
B167,528,38,22,4,Concrete,3,138
B168,418,23,98,6,Concrete,2,194
B169,574,35,100,1,Steel,5,208
B170,512,20,72,1,Composite,1,163
B171,355,21,98,3,Steel,5,167
B172,491,42,26,2,Concrete,2,106
B173,235,59,79,1,Steel,4,235
B174,511,60,5,5,Composite,4,112
B175,542,48,85,4,Concrete,1,214
B176,541,47,52,4,Concrete,1,143
B177,279,35,99,6,Steel,2,119
B178,141,22,40,4,Steel,1,229
B179,173,46,28,4,Concrete,2,144
B180,414,56,9,3,Steel,2,219
B181,346,29,97,1,Composite,4,243
B182,348,28,38,5,Steel,2,192
B183,254,26,75,5,Concrete,3,199
B184,211,42,74,2,Steel,2,127
B185,152,34,93,4,Concrete,1,244
B186,100,40,39,4,Steel,4,134
B187,208,22,85,4,Composite,2,105
B188,455,21,91,3,Composite,2,136
B189,312,34,82,1,Concrete,5,208
B190,398,37,73,2,Concrete,1,231
B191,206,42,7,1,Steel,2,248
B192,575,31,52,2,Concrete,5,109
B193,127,29,91,5,Steel,5,148
B194,569,44,97,1,Concrete,5,169
B195,518,32,90,3,Steel,3,149
B196,513,52,99,6,Composite,2,169
B197,357,52,6,5,Composite,2,136
B198,292,27,59,5,Composite,4,106
B199,598,45,47,4,Concrete,4,106
B200,400,59,57,2,Concrete,3,244
B201,379,59,30,2,Composite,1,142
B202,188,48,54,6,Steel,3,111
B203,195,52,25,5,Concrete,4,207
B204,159,32,52,1,Steel,4,220
B205,232,28,13,4,Steel,3,185
B206,314,23,89,4,Steel,5,204
B207,248,45,23,4,Concrete,1,149
B208,381,43,17,3,Concrete,4,156
B209,580,58,55,6,Concrete,4,170
B210,298,46,90,3,Steel,3,115
B211,289,43,68,5,Concrete,5,243
B212,300,41,45,6,Composite,5,161
B213,408,49,87,3,Steel,4,235
B214,457,59,27,3,Steel,2,155
B215,542,46,58,6,Composite,5,213
B216,165,49,18,1,Concrete,4,225
B217,439,45,53,2,Concrete,3,112
B218,475,25,40,2,Steel,3,192
B219,325,38,47,5,Composite,1,209
B220,291,57,20,4,Concrete,1,114
B221,584,60,61,2,Concrete,5,239
B222,206,43,97,2,Steel,4,244
B223,457,24,72,2,Composite,1,134
B224,218,24,9,4,Concrete,4,134
B225,508,26,33,3,Composite,3,250
B226,489,44,32,4,Composite,3,160
B227,560,51,6,3,Concrete,2,156
B228,543,36,63,2,Steel,4,207
B229,546,34,15,3,Composite,2,120
B230,277,60,90,1,Concrete,4,136
B231,172,54,65,4,Concrete,1,132
B232,367,31,60,6,Concrete,2,247
B233,203,48,32,6,Steel,3,205
B234,479,31,77,1,Composite,2,110
B235,206,39,80,6,Concrete,3,149
B236,331,49,88,5,Concrete,5,154
B237,533,42,38,5,Concrete,4,213
B238,439,29,21,1,Steel,3,180
B239,177,53,99,6,Steel,1,118
B240,172,27,86,4,Composite,4,136
B241,145,56,62,1,Composite,2,181
B242,574,33,67,4,Composite,2,169
B243,350,48,63,3,Concrete,2,201
B244,417,28,59,6,Composite,2,165
B245,180,47,24,1,Composite,1,228
B246,340,21,52,6,Steel,4,225
B247,395,28,15,2,Concrete,5,161
B248,391,25,97,3,Steel,5,185
B249,441,39,54,3,Concrete,4,237
B250,442,50,53,1,Composite,3,116
B251,511,39,18,6,Steel,3,196
B252,199,55,25,6,Composite,2,235
B253,512,33,51,6,Composite,2,207
B254,260,49,20,5,Steel,2,187
B255,312,33,27,6,Steel,5,113
B256,259,44,97,5,Concrete,2,195
B257,547,20,76,5,Steel,2,191
B258,106,43,48,2,Steel,5,182
B259,489,41,27,3,Composite,4,238
B260,147,24,68,2,Composite,5,234
B261,313,46,61,1,Composite,2,189
B262,435,58,58,1,Steel,3,201
B263,362,59,22,2,Composite,5,112
B264,387,46,75,3,Composite,5,242
B265,459,51,47,1,Steel,4,126
B266,225,30,92,1,Composite,1,231
B267,508,40,38,1,Composite,2,170
B268,438,55,48,2,Concrete,1,231
B269,467,43,39,2,Concrete,5,184
B270,143,56,42,5,Concrete,2,141
B271,444,58,35,6,Steel,1,216
B272,591,52,96,2,Steel,4,113
B273,166,29,75,6,Composite,2,216
B274,250,22,46,1,Steel,3,165
B275,357,56,91,5,Composite,5,191
B276,182,49,17,1,Steel,3,103
B277,153,25,59,3,Steel,5,208
B278,453,22,36,1,Concrete,1,215
B279,192,41,90,3,Composite,1,216
B280,343,24,100,1,Steel,2,111
B281,392,59,43,3,Composite,1,158
B282,292,57,33,5,Steel,2,197
B283,112,56,72,5,Composite,1,209
B284,235,33,76,1,Concrete,2,226
B285,474,56,17,6,Concrete,1,226
B286,454,56,39,4,Concrete,1,214
B287,108,52,69,2,Composite,4,242
B288,234,37,5,3,Steel,2,138
B289,330,48,93,5,Composite,4,216
B290,177,34,27,2,Steel,5,113
B291,528,32,62,5,Concrete,3,216
B292,313,35,67,4,Concrete,4,139
B293,382,44,40,2,Steel,4,214
B294,175,29,27,2,Concrete,4,131
B295,478,51,92,5,Steel,3,165
B296,474,29,73,6,Composite,4,212
B297,117,46,64,2,Composite,2,180
B298,487,48,35,5,Composite,2,214
B299,459,44,66,2,Steel,1,226
B300,453,47,66,1,Concrete,2,196
B301,477,36,73,4,Concrete,1,173
B302,518,26,19,2,Composite,2,192
B303,427,55,22,5,Concrete,5,171
B304,310,43,48,2,Steel,5,247
B305,536,34,80,2,Concrete,2,137
B306,342,40,65,4,Concrete,4,243
B307,568,34,21,4,Steel,3,178
B308,196,51,83,5,Concrete,4,131
B309,216,29,5,3,Concrete,1,175
B310,217,49,32,3,Steel,2,119
B311,583,43,84,6,Concrete,1,199
B312,265,50,59,1,Steel,3,242
B313,546,53,20,3,Concrete,3,159
B314,490,29,18,5,Composite,2,208
B315,597,41,17,4,Composite,2,123
B316,579,60,9,3,Steel,3,236
B317,577,24,87,6,Composite,2,136
B318,177,24,43,1,Steel,1,194
B319,253,57,61,2,Steel,1,155
B320,556,52,34,2,Composite,2,227
B321,436,43,72,3,Steel,2,248
B322,136,53,80,6,Composite,2,153
B323,233,23,90,3,Steel,5,176
B324,498,41,7,5,Concrete,5,209
B325,226,54,69,1,Composite,4,172
B326,122,39,69,2,Concrete,2,170
B327,235,35,57,6,Steel,1,184
B328,291,59,12,5,Steel,4,194
B329,597,26,93,6,Concrete,4,191
B330,423,28,66,3,Steel,3,201
B331,569,40,93,4,Steel,3,111
B332,356,29,54,2,Composite,1,123
B333,270,36,78,4,Concrete,4,180
B334,489,50,11,1,Composite,3,228
B335,161,43,94,3,Composite,3,123
B336,164,58,56,1,Steel,5,187
B337,344,34,62,1,Composite,2,115
B338,367,48,23,1,Composite,1,182
B339,360,55,65,6,Concrete,2,223
B340,169,60,46,1,Composite,4,143
B341,181,59,48,3,Composite,1,213
B342,156,54,92,2,Steel,3,193
B343,131,43,16,5,Composite,1,249
B344,393,21,84,5,Steel,3,235
B345,170,57,96,5,Concrete,1,222
B346,292,48,13,5,Concrete,4,198
B347,317,38,92,6,Composite,5,122
B348,572,29,50,1,Steel,3,130
B349,148,49,87,1,Concrete,5,192
B350,207,23,88,1,Concrete,2,166
B351,370,25,82,4,Composite,2,206
B352,399,49,55,6,Steel,3,208
B353,582,31,5,6,Steel,4,213
B354,221,42,64,2,Concrete,4,225
B355,500,33,36,3,Concrete,5,175
B356,271,24,88,3,Steel,5,227
B357,292,51,98,5,Composite,3,118
B358,244,34,16,5,Composite,1,205
B359,368,47,7,6,Composite,3,164
B360,413,56,95,6,Concrete,1,234
B361,420,59,88,1,Steel,4,120
B362,210,33,45,5,Composite,5,120
B363,413,53,50,4,Steel,1,155
B364,148,53,51,2,Concrete,3,199
B365,551,34,38,5,Composite,3,198
B366,498,59,67,6,Composite,5,119
B367,460,48,58,2,Concrete,1,151
B368,119,36,60,6,Concrete,2,230
B369,584,49,38,4,Steel,1,102
B370,299,37,33,3,Concrete,3,241
B371,284,23,18,1,Composite,4,221
B372,529,44,44,5,Composite,2,141
B373,219,22,66,1,Steel,5,187
B374,148,26,89,1,Concrete,1,221
B375,533,23,60,4,Steel,5,180
B376,548,31,61,3,Concrete,5,226
B377,117,51,76,4,Steel,1,217
B378,270,33,46,2,Composite,4,127
B379,414,48,51,2,Composite,5,111
B380,535,45,26,4,Concrete,5,157
B381,309,55,57,4,Concrete,3,225
B382,121,51,56,6,Composite,1,183
B383,354,41,51,6,Composite,1,112
B384,512,45,68,5,Composite,2,128
B385,127,52,71,4,Concrete,5,240
B386,501,35,53,2,Steel,1,138
B387,298,26,12,2,Composite,5,150
B388,411,39,81,6,Steel,1,158
B389,367,20,44,5,Concrete,5,169
B390,444,45,63,6,Concrete,4,193
B391,366,48,75,4,Steel,2,102
B392,206,22,64,6,Concrete,5,206
B393,264,30,88,1,Steel,2,164
B394,384,42,47,3,Steel,3,164
B395,404,51,67,3,Steel,4,211
B396,426,23,9,5,Concrete,4,173
B397,455,37,16,3,Concrete,4,195
B398,561,27,42,4,Concrete,5,187
B399,512,55,35,2,Steel,4,119
B400,130,37,51,5,Steel,3,161
B401,394,57,80,6,Concrete,1,173
B402,434,56,9,2,Composite,3,150
B403,511,49,81,5,Composite,4,205
B404,599,41,35,1,Concrete,4,206
B405,492,55,89,1,Concrete,1,182
B406,301,46,52,6,Composite,2,144
B407,470,54,18,5,Steel,4,193
B408,304,57,60,3,Composite,5,248
B409,408,23,54,4,Steel,1,231
B410,552,28,19,1,Steel,1,221
B411,553,49,49,4,Steel,2,221
B412,519,30,71,2,Composite,4,130
B413,133,57,59,6,Concrete,4,236
B414,374,31,13,5,Concrete,5,122
B415,416,56,93,6,Concrete,1,193
B416,382,34,6,3,Steel,1,127
B417,584,24,39,3,Composite,1,227
B418,224,33,78,3,Composite,1,147
B419,177,30,62,4,Steel,4,101
B420,384,48,37,4,Composite,3,196
B421,121,31,11,6,Composite,4,140
B422,560,38,79,5,Concrete,4,156
B423,485,26,56,4,Composite,5,116
B424,204,49,99,5,Steel,3,104
B425,294,48,99,1,Composite,3,206
B426,460,29,5,2,Concrete,1,136
B427,311,45,15,6,Steel,1,210
B428,141,43,71,4,Steel,4,107
B429,452,55,34,3,Composite,4,121
B430,571,25,87,5,Steel,4,238
B431,215,43,70,6,Composite,1,121
B432,149,31,37,6,Steel,4,235
B433,554,47,18,3,Composite,2,110
B434,404,23,94,1,Concrete,2,220
B435,569,21,72,2,Steel,4,242
B436,387,20,42,2,Composite,1,181
B437,103,60,18,3,Concrete,4,210
B438,320,51,15,1,Composite,5,106
B439,560,40,96,3,Composite,2,243
B440,295,35,5,3,Concrete,2,183
B441,367,36,76,6,Composite,2,240
B442,329,25,42,6,Steel,5,159
B443,267,50,58,5,Steel,2,101
B444,307,30,54,5,Composite,1,175
B445,589,29,15,3,Concrete,4,238
B446,259,50,28,2,Concrete,3,151
B447,126,33,42,3,Concrete,4,239
B448,468,27,63,3,Steel,2,136
B449,263,60,68,1,Steel,1,227
B450,109,26,59,2,Concrete,3,144
B451,427,27,30,2,Steel,3,237
B452,329,59,39,5,Concrete,4,116
B453,108,28,84,4,Composite,4,145
B454,491,58,82,2,Concrete,2,103
B455,592,55,42,1,Steel,5,192
B456,378,42,52,4,Composite,2,240
B457,543,60,22,6,Concrete,2,214
B458,494,32,6,5,Concrete,5,235
B459,240,25,96,2,Composite,4,121
B460,265,25,52,6,Steel,1,196
B461,203,60,92,3,Composite,1,163
B462,117,46,38,2,Composite,2,181
B463,488,23,87,2,Steel,1,154
B464,461,24,68,4,Composite,5,184
B465,538,60,8,4,Steel,5,218
B466,331,29,94,1,Concrete,3,153
B467,542,49,77,2,Steel,2,126
B468,466,28,11,2,Composite,1,166
B469,209,27,76,4,Concrete,5,119
B470,129,35,24,6,Concrete,3,206
B471,394,27,61,4,Composite,1,187
B472,557,56,69,5,Concrete,4,121
B473,227,36,73,1,Concrete,4,227
B474,236,23,92,5,Steel,3,130
B475,397,33,43,1,Concrete,2,130
B476,166,46,51,5,Concrete,2,212
B477,537,28,96,1,Steel,3,154
B478,406,57,63,5,Steel,2,234
B479,151,44,43,4,Steel,2,186
B480,532,22,96,5,Composite,2,139
B481,359,32,83,2,Steel,5,234
B482,386,47,79,5,Composite,2,104
B483,191,46,34,2,Steel,2,199
B484,515,30,62,5,Concrete,4,205
B485,267,29,21,5,Concrete,4,158
B486,591,53,55,2,Steel,2,222
B487,330,52,84,4,Composite,5,250
B488,412,42,55,6,Steel,3,224
B489,144,46,37,4,Concrete,1,109
B490,161,50,44,3,Steel,5,198
B491,189,34,36,1,Concrete,3,113
B492,158,53,47,6,Concrete,4,162
B493,385,51,35,6,Concrete,2,214
B494,144,51,31,5,Concrete,4,181
B495,348,26,52,2,Concrete,4,147
B496,353,50,92,1,Composite,1,211
B497,161,53,23,6,Composite,4,104
B498,152,40,7,5,Concrete,1,188
B499,404,41,76,3,Concrete,5,247
B500,383,32,41,3,Steel,1,109
